Wall time,Step,Value
1776246390.7524283,300,-0.30000001192092896
1776246390.9621482,406,-0.703000009059906
1776246391.5640604,706,-0.5686666965484619
1776246392.1689777,1006,-0.5015000104904175
1776246392.8768327,1306,-0.4612000286579132
1776246393.4829893,1606,-0.43433335423469543
1776246394.0707471,1906,-0.41514286398887634
1776246396.2562397,2206,-0.4007500112056732
1776246399.220798,2506,-0.38955557346343994
1776246402.3691788,2806,-0.3806000053882599
1776246404.6400907,3054,-0.45945456624031067
1776246407.2963862,3354,-0.4461666941642761
1776246410.225487,3654,-0.43492308259010315
1776246413.086837,3954,-0.4252857267856598
1776246415.8138433,4254,-0.4169333577156067
1776246417.7050996,4470,-0.46687501668930054
1776246420.395934,4770,-0.457058846950531
1776246423.1123374,5070,-0.44833335280418396
1776246423.8529406,5145,-0.48131582140922546
1776246424.410066,5209,-0.510450005531311
1776246427.1201017,5509,-0.510450005531311
1776246429.748541,5809,-0.47015002369880676
1776246432.3809361,6109,-0.47015002369880676
1776246435.0935738,6409,-0.47015002369880676
1776246437.9848313,6709,-0.47015002369880676
1776246440.6363084,7009,-0.47015002369880676
1776246442.2395914,7186,-0.5139999985694885
1776246442.7573888,7241,-0.5517500042915344
1776246443.9653575,7365,-0.5929500460624695
1776246445.0025551,7474,-0.633400022983551
1776246447.9881086,7774,-0.5860000252723694
1776246450.7374742,8074,-0.5860000252723694
1776246452.1197994,8241,-0.6293500065803528
1776246453.5811298,8392,-0.6719000339508057
1776246454.58979,8496,-0.7121000289916992
1776246455.1608505,8567,-0.5548500418663025
1776246456.397006,8706,-0.5968000292778015
1776246459.2527485,9006,-0.5968000292778015
1776246461.8628995,9293,-0.6074000597000122
1776246463.512352,9477,-0.6134000420570374
1776246466.3391333,9777,-0.6134000420570374
1776246469.1957905,10077,-0.6134000420570374
1776246471.9534705,10377,-0.6134000420570374
1776246472.802873,10475,-0.6533000469207764
1776246475.7528815,10775,-0.6533000469207764
1776246478.5678892,11075,-0.6533000469207764
1776246481.3061936,11375,-0.6094500422477722
1776246482.477972,11507,-0.6133000254631042
1776246485.1660244,11807,-0.572100043296814
1776246485.9919667,11900,-0.5713000297546387
1776246488.8879628,12200,-0.5713000297546387
1776246490.7414865,12408,-0.6167000532150269
1776246493.4592898,12708,-0.5733500123023987
1776246494.6986508,12850,-0.5729000568389893
1776246497.2711952,13150,-0.5327000617980957
1776246500.0067167,13450,-0.6441500186920166
1776246502.6020517,13750,-0.6022000312805176
1776246505.3203204,14050,-0.6022000312805176
1776246507.9320784,14350,-0.5528500080108643
1776246510.7044523,14650,-0.508650004863739
1776246513.3392603,14950,-0.508650004863739
1776246515.9156036,15250,-0.508650004863739
1776246516.535886,15322,-0.5472500324249268
1776246519.0907712,15622,-0.5073500275611877
1776246521.7151937,15922,-0.5073500275611877
1776246524.3025403,16222,-0.5073500275611877
1776246524.4897385,16242,-0.3933500349521637
1776246527.1300883,16542,-0.3517500162124634
1776246528.7017188,16724,-0.3958500325679779
1776246531.423154,17024,-0.3562000095844269
1776246534.1539114,17324,-0.3562000095844269
1776246536.4391828,17568,-0.3580000102519989
1776246539.0137944,17868,-0.3580000102519989
1776246541.5149624,18168,-0.3159000277519226
1776246544.189309,18468,-0.3159000277519226
1776246545.0053744,18557,-0.3553500175476074
1776246545.9445248,18667,-0.3958500325679779
1776246548.4993181,18967,-0.3958500325679779
1776246551.0062857,19267,-0.3958500325679779
1776246553.7197716,19567,-0.3958500325679779
1776246556.4231365,19867,-0.3958500325679779
1776246559.0893872,20167,-0.3958500325679779
1776246562.1048245,20467,-0.35725003480911255
1776246564.864789,20767,-0.35725003480911255
1776246567.600673,21067,-0.35725003480911255
1776246570.3198853,21367,-0.35725003480911255
1776246573.2982934,21667,-0.4712500274181366
1776246576.6376774,21967,-0.4712500274181366
1776246579.8749716,22267,-0.42715001106262207
1776246582.547692,22567,-0.42715001106262207
1776246583.4365578,22667,-0.3171500265598297
1776246584.6496332,22808,-0.16200001537799835
1776246587.295623,23108,-0.16200001537799835
1776246589.9903798,23408,-0.16200001537799835
1776246592.581091,23708,-0.16200001537799835
1776246595.3023832,24008,-0.12255001813173294
1776246597.9978142,24308,-0.08205001801252365
1776246600.6730247,24608,-0.08205001801252365
1776246603.336363,24908,-0.08205001801252365
1776246606.2186818,25208,-0.08205001801252365
1776246608.892835,25508,-0.08205001801252365
1776246610.169138,25650,-0.12415002286434174
1776246612.8822536,25950,-0.12415002286434174
1776246615.5873592,26250,-0.12415002286434174
1776246616.1056285,26311,-0.012200022116303444
1776246618.828487,26611,-0.012200022116303444
1776246621.5586603,26911,-0.012200022116303444
1776246624.35265,27211,-0.012200022116303444
1776246626.9163146,27511,-0.012200022116303444
1776246629.6352558,27811,-0.012200022116303444
1776246632.2186852,28111,-0.12220001965761185
1776246634.9479613,28411,-0.2301500141620636
1776246637.4451745,28711,-0.2301500141620636
1776246638.2202482,28794,-0.26930001378059387
1776246640.8411636,29094,-0.26930001378059387
1776246643.5881398,29394,-0.26930001378059387
1776246643.8499832,29424,-0.1558000147342682
1776246646.7362466,29724,-0.1558000147342682
1776246649.7233999,30024,-0.1558000147342682
1776246652.4810216,30324,-0.1558000147342682
1776246655.2694867,30624,-0.1558000147342682
1776246657.861298,30924,-0.1137000173330307
1776246660.4649692,31224,-0.1137000173330307
1776246663.2602024,31524,-0.1137000173330307
1776246666.0235567,31824,-0.22565001249313354
1776246668.6380582,32124,-0.22565001249313354
1776246671.2363558,32424,-0.22565001249313354
1776246673.8520772,32724,-0.22565001249313354
1776246676.512733,33024,-0.22565001249313354
1776246679.236672,33324,-0.22565001249313354
1776246679.9619215,33411,-0.11500001698732376
1776246681.0119498,33531,-0.156000018119812
1776246683.612447,33831,-0.156000018119812
1776246686.4997122,34131,-0.11685001850128174
1776246689.2749772,34431,-0.11685001850128174
1776246691.9150743,34731,-0.11685001850128174
1776246694.4262097,35031,-0.23035001754760742
1776246694.808128,35076,-0.11760001629590988
1776246697.304599,35376,-0.11760001629590988
1776246700.0423603,35676,-0.11760001629590988
1776246702.7243395,35976,-0.11760001629590988
1776246705.3361845,36276,-0.11760001629590988
1776246707.8832583,36576,-0.11760001629590988
1776246710.5639014,36876,-0.11760001629590988
1776246713.2870977,37176,-0.11760001629590988
1776246716.0224137,37476,-0.11760001629590988
1776246718.7091627,37776,-0.11760001629590988
1776246719.6626937,37880,-0.15780001878738403
1776246722.1295984,38171,-0.20735003054141998
1776246724.6940222,38471,-0.20735003054141998
1776246727.3697531,38771,-0.31800001859664917
1776246730.011691,39071,-0.2770000100135803
1776246732.6416705,39371,-0.2770000100135803
1776246733.781887,39502,-0.1685500293970108
1776246734.4084055,39566,-0.05675002560019493
1776246737.164282,39866,-0.05675002560019493
1776246738.4511096,40012,0.05094997584819794
